eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
190101070029,1901,1,7,0,29,0,-82,-2,0,7.2,0
190601311536,1906,1,31,15,36,0,-79.36,0.95,20,8.35,0
190609281524,1906,9,28,15,24,54,-79,-2,150,7.5,0
190706010845,1907,6,1,8,45,0,-82,0,0,7,0
191207241159,1912,7,24,11,59,0,-80,-5,0,7,0
191708311136,1917,8,31,11,36,24,-74,4,0,7.1,0
192001301826,1920,1,30,18,26,45,-77.5,3,35,6,0
192403112244,1924,3,11,22,44,27.58,-81.68,-3.5,35,6.8,0
192407220404,1924,7,22,4,4,16,-79,-1,287,6.5,0
192410182305,1924,10,18,23,5,30.49,-80.16,2.81,15,6.8,0
192506072341,1925,6,7,23,41,40,-80.5,3,318,6.8,0
192506231646,1925,6,23,16,46,39.91,-77.03,-0.11,25,6.8,0
192603072033,1926,3,7,20,33,28,-74.5,-2.8,0,6.5,0
192703130532,1927,3,13,5,32,16,-81.5,-6.5,0,6,0
192805142214,1928,5,14,22,14,51.45,-78.55,-5.26,35,7.2,0
192807181904,1928,7,18,19,4,8.94,-78.73,-5.35,35,6.9,0
193011240606,1930,11,24,6,6,48,-74.5,-2,0,6.2,0
193209050623,1932,9,5,6,23,50,-81,-6,50,6,0
193305180428,1933,5,18,4,28,35,-78.5,0.5,60,5.6,0
193310010240,1933,10,1,2,40,39,-75.2,-6.4,0,6.2,0
193310021529,1933,10,2,15,29,29.51,-80.84,-1.83,15,6.7,0
193310031021,1933,10,3,10,21,20,-80.75,-1.75,35,6.2,0
193310031421,1933,10,3,14,21,49,-80.75,-1.75,35,6,0
193404030736,1934,4,3,7,36,27,-78,4,35,6,0
193408061207,1934,8,6,12,7,13,-77.8,3.4,0,6,0
193410292325,1934,10,29,23,25,23,-78,-5,110,6.2,0
193503081159,1935,3,8,11,59,10,-79.8,-4.2,0,6,0
193506112155,1935,6,11,21,55,55,-83,3.5,35,5.6,0
193510272205,1935,10,27,22,5,2,-77.8,3.4,0,5.5,0
193511022105,1935,11,2,21,5,40,-79,-2,130,6,0
193512241224,1935,12,24,12,24,11.11,-79.46,2.61,25,6.2,0
193705211312,1937,5,21,13,12,23,-78.5,2.2,65,6.5,0
193707081251,1937,7,8,12,51,5,-84,3,35,6,0
193707191935,1937,7,19,19,35,27.96,-76.39,-1.97,184.2,7.1,0
193801162141,1938,1,16,21,41,40,-75.3,-6.2,0,6,0
194005041644,1940,5,4,16,44,30,-81,-6.5,35,5.6,0
194005050203,1940,5,5,2,3,42,-80,-7,35,6,0
194010230223,1940,10,23,2,23,15,-76,-2,140,6,0
194101240544,1941,1,24,5,44,3,-76.75,-3.25,120,6.5,0
194201081512,1942,1,8,15,12,22,-79,-6.5,0,6,0
194205140213,1942,5,14,2,13,28.33,-80.39,0.01,19.7,7.8,0
194211061331,1942,11,6,13,31,11.13,-76.76,-6.52,123.6,6.8,0
194301300532,1943,1,30,5,32,3,-80.02,-1.98,58.7,6.1,0
194304050308,1943,4,5,3,8,58,-76,-6.5,140,6.5,0
194312220701,1943,12,22,7,1,50,-77,-2.5,130,6.2,0
194405091429,1944,5,9,14,29,49,-74.8,3.1,0,6,0
194410232340,1944,10,23,23,40,1,-79.32,0.6,20,6.73,0
194507091642,1945,7,9,16,42,8,-76.9,1.9,96,6.5,0
194908051908,1949,8,5,19,8,47,-78.4,-1.23,10,6.8,0
195006071652,1950,6,7,16,52,34,-76.5,-4,110,6.8,0
195304170002,1953,4,17,0,2,50,-77.2,-5.2,0,6,0
195312121731,1953,12,12,17,31,28.19,-80.84,-3.59,19,7.5,0
195406151330,1954,6,15,13,30,3,-76.7,-5.4,128,6.7,0
195505111104,1955,5,11,11,4,1,-77.8,-0.2,0,6.8,0
195601162337,1956,1,16,23,37,45.6,-80.28,-0.82,35,6.9,0
195603220634,1956,3,22,6,34,0,-79,-3.3,96,6.5,0
195705240237,1957,5,24,2,37,50,-76.75,3.7,5.3,6.12,0
195708261358,1957,8,26,13,58,51,-80.99,-1.92,15,6.34,0
195801191407,1958,1,19,14,7,27.29,-79.59,1.14,29.8,7.8,0
195801191443,1958,1,19,14,43,29.97,-79.58,1.18,35,6.8,0
195802011610,1958,2,1,16,10,18.74,-79.55,1.45,35,6.9,0
195802012045,1958,2,1,20,45,52,-79.19,1.66,46,6.8,0
195804142132,1958,4,14,21,32,34.7,-79.57,0.7,35,6.8,0
195804142248,1958,4,14,22,48,32,-79.82,0.82,0,6.6,0
195804150130,1958,4,15,1,30,47,-79.62,0.94,0,6.6,0
195805252111,1958,5,25,21,11,42,-78.09,-3.12,29,6.5,0
195902070936,1959,2,7,9,36,57.67,-81.68,-3.78,35,6.9,0
196011202201,1960,11,20,22,1,1.78,-80.91,-6.77,15,7.8,0
196302270010,1963,2,27,0,10,1.3,-79,-1.2,33,4.3,0
196303041543,1963,3,4,15,43,2.2,-81.6,-4.5,23,5.3,0
196303050705,1963,3,5,7,5,0.4,-81.5,-4.5,22,5.6,0
196303300923,1963,3,30,9,23,13.9,-77.7,-1.5,154,4.5,0
196303310445,1963,3,31,4,45,59.7,-81.2,-6.6,31,5.2,0
196304040607,1963,4,4,6,7,21.4,-75,3.9,33,4.2,0
196304130220,1963,4,13,2,20,58.99,-76.53,-6.25,119.8,6.5,0
196305102222,1963,5,10,22,22,40.59,-77.62,-2.18,20,6.6,0
196305112103,1963,5,11,21,3,56.5,-79.2,-2.9,33,4.2,0
196305121100,1963,5,12,11,0,50.1,-77,-2.7,115,4,0
196305141123,1963,5,14,11,23,2.1,-80.2,0.7,25,4.4,0
196305201322,1963,5,20,13,22,8.9,-77.6,1.1,148,4.2,0
196305230357,1963,5,23,3,57,43.8,-80.8,-1.6,90,4.6,0
196305261913,1963,5,26,19,13,39.6,-81.2,-5.5,33,4.7,0
196306080857,1963,6,8,8,57,24.9,-77.8,-2.3,33,4.4,0
196306181539,1963,6,18,15,39,55.4,-78.5,-5.3,33,4.4,0
196306202042,1963,6,20,20,42,17.1,-77.5,-2.3,33,4.1,0
196306211213,1963,6,21,12,13,13.8,-81.2,-4.9,45,4.1,0
196307020252,1963,7,2,2,52,53,-77.8,-2.4,33,4.6,0
196307051429,1963,7,5,14,29,24.8,-77.8,-3.2,65,4.2,0
196307252031,1963,7,25,20,31,17.7,-77.8,-2.4,33,4,0
196308041207,1963,8,4,12,7,24.4,-80.9,-4.1,34,4.7,0
196308110630,1963,8,11,6,30,36.5,-78.9,-1,33,4,0
196308131239,1963,8,13,12,39,55.3,-80.4,-3.1,66,4.3,0
196308150047,1963,8,15,0,47,5,-76.1,2.8,33,4.3,0
196308202014,1963,8,20,20,14,31.4,-80.9,0,64,4.2,0
196308291530,1963,8,29,15,30,29,-81.48,-6.97,0,6.1,0
196309061357,1963,9,6,13,57,42.5,-83.2,2.2,33,4.8,0
196309170734,1963,9,17,7,34,38.7,-77.9,-1.5,178,4,0
196309190006,1963,9,19,0,6,43,-78,-2.6,33,4.3,0
196310140539,1963,10,14,5,39,17.1,-77.6,-2.3,33,4.7,0
196310261256,1963,10,26,12,56,46.8,-77.8,-2.7,33,4.2,0
196408241642,1964,8,24,16,42,22.1,-79.09,1.96,90,4.3,0
196408272146,1964,8,27,21,46,41.9,-78.34,1.47,140,4.1,0
196409050435,1964,9,5,4,35,28.1,-76.8,1.06,90,4.2,0
196409102136,1964,9,10,21,36,35.3,-81.22,-4.8,72,4.5,0
196409191726,1964,9,19,17,26,19.8,-81.2,-5.86,101,4.6,0
196410180249,1964,10,18,2,49,17.7,-78.03,2.79,76,4.7,0
196410250625,1964,10,25,6,25,50.08,-77.16,-1.96,162,5.2,0
196410252256,1964,10,25,22,56,31.3,-78.89,-2.07,48,5.2,0
196411020650,1964,11,2,6,50,1.39,-76.76,-4.03,107.4,5.8,0
196411211724,1964,11,21,17,24,24.8,-76.7,-4.87,109,4.3,0
196411290324,1964,11,29,3,24,46.3,-80.6,-4.52,254,4.3,0
196411291708,1964,11,29,17,8,27.5,-79.21,-4.74,98,4.2,0
196412071555,1964,12,7,15,55,52.2,-76.37,-6.56,135,4.8,0
196412072103,1964,12,7,21,3,48.3,-79.83,2.7,38,4.9,0
196412091912,1964,12,9,19,12,18.5,-77.52,-1.23,218,4.3,0
196412100235,1964,12,10,2,35,39.9,-76.7,1.9,191,4.5,0
196501061630,1965,1,6,16,30,37.3,-81.52,-0.89,21,4.6,0
196501071157,1965,1,7,11,57,30.2,-76.7,-3.1,30,4.3,0
196501071852,1965,1,7,18,52,25.9,-74,3.6,20,4.3,0
196501100343,1965,1,10,3,43,45.8,-81.4,-3.32,92,4.7,0
196501140825,1965,1,14,8,25,18.64,-81.41,-5.68,31.2,5.5,0
196501161622,1965,1,16,16,22,16.4,-80.1,-2.3,135,4.4,0
196501161659,1965,1,16,16,59,28.5,-78.2,-2.5,33,4.5,0
196501261417,1965,1,26,14,17,53.1,-80.75,-0.41,81,4.5,0
196502111610,1965,2,11,16,10,30.81,-77.89,-1.48,179.5,5,0
196502131005,1965,2,13,10,5,24.3,-77.6,-5.9,69,4.5,0
196502280620,1965,2,28,6,20,11.3,-79.7,2.7,33,4.1,0
196503031305,1965,3,3,13,5,28.4,-83.9,3.3,33,4.3,0
196503060443,1965,3,6,4,43,12,-78.3,-1.26,53,4.2,0
196503070633,1965,3,7,6,33,19.4,-78.98,3.35,47,4.7,0
196503122254,1965,3,12,22,54,45.52,-77.74,-5.77,37.5,4.9,0
196503141530,1965,3,14,15,30,37.1,-80.8,-0.4,33,4.1,0
196504040553,1965,4,4,5,53,45.1,-79.76,1.41,99,4.1,0
196504061921,1965,4,6,19,21,50.5,-78.17,-3.11,110,4.9,0
196504120042,1965,4,12,0,42,59.5,-77.9,3.25,90,4.4,0
196504140823,1965,4,14,8,23,38.3,-78.93,-1.17,84,4.4,0
196504150200,1965,4,15,2,0,10.4,-75.6,-5.72,33,4.4,0
196504222213,1965,4,22,22,13,4.1,-78.68,-6.02,118,4.6,0
196504260839,1965,4,26,8,39,4.1,-77.85,-1.31,193,4.2,0
196505091958,1965,5,9,19,58,1.02,-77.22,-2.8,112,4.8,0
196505110058,1965,5,11,0,58,31,-80.9,-6.7,71,4.1,0
196505200955,1965,5,20,9,55,10.6,-80.77,-3.71,9,4.4,0
196506062141,1965,6,6,21,41,40,-80.6,-1.37,75,4.2,0
196506080546,1965,6,8,5,46,49.6,-78.2,-4.01,33,4.2,0
196506180337,1965,6,18,3,37,50,-80.6,-4.67,33,4,0
196506211046,1965,6,21,10,46,40,-77.77,-3.68,37,4.5,0
196506271709,1965,6,27,17,9,5.55,-76.91,-2.56,121.2,4.9,0
196507070755,1965,7,7,7,55,47.4,-83.5,2.7,49,4.3,0
196507132234,1965,7,13,22,34,48.5,-77.7,-3.2,90,4.4,0
196507132249,1965,7,13,22,49,46.1,-78.8,-2.9,112,4.6,0
196507150831,1965,7,15,8,31,24.6,-80.9,-6.6,36,4.4,0
196507241216,1965,7,24,12,16,8.9,-78.1,-3.5,33,4.2,0
196507301632,1965,7,30,16,32,37.7,-78.07,-1.48,170,4.3,0
196508010436,1965,8,1,4,36,40.9,-80.9,-4.9,66,4,0
196508090840,1965,8,9,8,40,29.9,-78.74,-1.4,119.4,4.5,0
196508130054,1965,8,13,0,54,45.37,-80.96,-4.31,38.9,5.3,0
196508221039,1965,8,22,10,39,27.7,-76.9,-2.3,187,4.1,0
196508311447,1965,8,31,14,47,46.1,-82.1,3.8,62,4.4,0
196509071630,1965,9,7,16,30,27.4,-80.5,-4.4,227,4.2,0
196509171113,1965,9,17,11,13,57.38,-77.67,-1.44,185.9,6.52,0
196509201810,1965,9,20,18,10,41.4,-74.9,-6.39,138.1,4.9,0
196906181353,1969,6,18,13,53,51.9,-78.03,-2.51,123,4.3,0
196906300827,1969,6,30,8,27,21.7,-76.88,-3.56,76,4.6,0
196907031231,1969,7,3,12,31,41,-81.1,-5.3,50,4.4,0
196907040632,1969,7,4,6,32,44.34,-80.86,-3.99,25.1,4.5,0
196907040721,1969,7,4,7,21,50.23,-81,-4.19,28.6,4.6,0
196907050455,1969,7,5,4,55,33.21,-77.16,-5.57,18.4,5.2,0
196907061241,1969,7,6,12,41,38.9,-79.36,1.67,35,4.6,0
196907111351,1969,7,11,13,51,23,-76.6,-4.2,91,4.6,0
196907150313,1969,7,15,3,13,28.6,-76.15,3.54,168,4.3,0
196908051214,1969,8,5,12,14,42.89,-81.83,-5.43,19.2,5,0
196908060350,1969,8,6,3,50,44,-80.2,-3.48,34,4.6,0
196908080747,1969,8,8,7,47,30,-78.65,-1.04,33,4.5,0
196909011803,1969,9,1,18,3,13.5,-80.56,-3.72,68,4.5,0
196909081243,1969,9,8,12,43,40,-77.4,-5.94,124,4.2,0
196909190245,1969,9,19,2,45,47,-80.4,-4.4,85,4.5,0
196909240014,1969,9,24,0,14,31,-81.6,-5.09,45,4,0
196910272232,1969,10,27,22,32,32.21,-78.9,-2.24,118.7,4.6,0
196911021147,1969,11,2,11,47,5,-81.5,-5.4,12,4.4,0
196911100010,1969,11,10,0,10,22,-79.6,-2.5,111,4.3,0
196911110245,1969,11,11,2,45,29.8,-80.23,-2.44,62,4,0
196912060939,1969,12,6,9,39,44.3,-79.02,2.99,38,4.7,0
196912170705,1969,12,17,7,5,25.7,-78.87,-0.91,19,4.3,0
196912170713,1969,12,17,7,13,6,-78.3,-0.74,26,4.2,0
196912231727,1969,12,23,17,27,47.8,-80.74,-3.26,44,4.4,0
197001030208,1970,1,3,2,8,14,-77.3,-5.99,138,4.1,0
197001030307,1970,1,3,3,7,55,-78.54,-1.87,19,4.7,0
197001112249,1970,1,11,22,49,59.8,-77.18,-2.47,156,4.7,0
197001300541,1970,1,30,5,41,51,-76.98,-4.21,106,4.7,0
197002020919,1970,2,2,9,19,38.5,-82.98,3.47,33,4.5,0
197002081934,1970,2,8,19,34,25,-75.3,-2.7,58,4.7,0
197002090216,1970,2,9,2,16,24,-76.7,-5.33,63,4.4,0
197003020855,1970,3,2,8,55,13,-79.8,-3.7,33,4,0
197003060228,1970,3,6,2,28,15,-80.1,-2.89,35,4.1,0
197003080107,1970,3,8,1,7,20,-83,-5,33,5.2,0
197003251317,1970,3,25,13,17,44.1,-79.04,-2.21,57,4.6,0
197003251321,1970,3,25,13,21,6.8,-79.1,-2.41,41,4.9,0
197003310850,1970,3,31,8,50,14,-80.16,-5.7,71.1,5.4,0
197004032040,1970,4,3,20,40,48.8,-77.38,-3.37,88,4.4,0
197004071741,1970,4,7,17,41,35,-80.8,-0.2,76,4.4,0
197004161026,1970,4,16,10,26,0.6,-77.09,-5.66,60,4.8,0
197004250554,1970,4,25,5,54,54.7,-80.09,-3.89,96,4.8,0
197004251924,1970,4,25,19,24,0.88,-81.94,-2.61,31.7,5.2,0
197005031830,1970,5,3,18,30,59.4,-83.49,0.85,33,4.5,0
197005071012,1970,5,7,10,12,57.74,-79.53,-3.42,76.3,4.8,0
197005140700,1970,5,14,7,0,19,-78.9,-4.49,61,4.2,0
197005221408,1970,5,22,14,8,2,-82.87,3.43,35,4.7,0
197005222041,1970,5,22,20,41,57.3,-78.03,-1.66,171,4.3,0
197005270952,1970,5,27,9,52,35,-76.56,-6.16,62,4.6,0
