eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
us7000kb1e,2023,06,25,21,50,21,-79.9032,-1.9292,10,4.6,0
us6000kp6h,2023,06,22,20,36,43,-79.4516,-6.3372,102.484,4.77,0
us7000k984,2023,06,17,16,17,48,-81.9954,-4.4074,10,5.025,0
us7000k7li,2023,06,10,06,53,57,-76.489,3.8178,146.602,4.685,0
us7000k5nw,2023,06,02,04,30,40,-83.0363,3.0939,10,4.685,0
us6000kdqa,2023,05,21,18,39,37,-77.4579,0.1212,12.026,4.685,0
us6000kdkj,2023,05,21,07,44,39,-80.0599,-2.717,54.961,4.855,0
us6000kd0r,2023,05,19,03,00,22,-79.8025,-5.482,101.047,4.515,0
us6000kbqc,2023,05,13,18,59,37,-80.4564,-1.5139,49.223,4.855,0
us6000kcu1,2023,05,13,12,13,56,-81.0435,-5.6458,27.268,4.77,0
us6000kbbv,2023,05,12,06,06,16,-77.9505,0.7544,10,4.855,0
us6000ka69,2023,05,07,08,05,32,-74.7041,3.0134,182.956,4.685,0
us7000jx3g,2023,04,30,03,33,52,-80.9211,-5.0489,32.689,4.77,0
us6000k4sq,2023,04,15,20,52,53,-74.2162,3.3662,10,4.855,0
us6000k4lx,2023,04,15,03,50,57,-79.0054,2.2187,10,4.94,0
us6000k3gz,2023,04,11,10,38,20,-81.0133,-3.6899,10,4.77,0
us6000k24y,2023,04,05,11,25,03,-75.5598,-4.5409,11.162,4.94,0
us6000k1xe,2023,04,04,13,35,24,-75.7336,-3.1276,133.059,5.11,0
us6000k1hb,2023,04,02,12,32,42,-77.6591,-1.6175,177.187,4.855,0
us7000jkyh,2023,03,17,19,19,23,-80.651,-0.1877,18.564,4.685,0
us7000jka7,2023,03,15,21,50,42,-76.0855,3.9045,177.822,4.855,0
us7000jjgg,2023,03,13,03,11,49,-76.5998,-3.8227,111.925,4.94,0
us7000ji24,2023,03,08,04,24,57,-80.1644,0.5931,29.058,4.77,0
us6000jrwb,2023,02,27,09,05,04,-80.8196,-5.6873,35,4.94,0
us6000jru0,2023,02,27,03,01,25,-80.8696,-5.8854,32.402,5.11,0
us6000jq0w,2023,02,19,01,48,38,-80.8114,-1.1134,10,4.685,0
us6000jkpi,2023,02,01,08,58,27,-78.0035,-1.8098,159.108,4.77,0
us6000jkn6,2023,02,01,02,54,27,-79.6826,-3.6451,10,4.685,0
us6000jjzg,2023,01,28,11,58,29,-80.4779,-3.7762,61.631,4.855,0
us6000jjbm,2023,01,26,04,29,44,-77.4686,-0.1313,10,4.77,0
us6000jjb9,2023,01,26,03,16,21,-79.9976,-1.9602,76.274,4.94,0
us6000jj3z,2023,01,25,09,11,39,-80.7345,-3.4777,39.801,4.685,0
us7000j5dh,2023,01,18,23,43,32,-78.0794,-1.7012,158.386,4.685,0
us6000jj5e,2023,01,16,21,04,16,-77.7717,-2.1417,152.782,4.43,0
us7000j4jw,2023,01,15,17,59,19,-77.3987,0.7556,9.7,4.685,0
us7000j2in,2023,01,06,12,33,17,-81.7315,-4.0222,8.451,4.77,0
us7000j15l,2022,12,31,00,43,57,-77.7617,-1.7451,182.543,4.685,0
us7000j3pb,2022,12,30,17,43,01,-77.3878,-5.0236,123.83,4.685,0
us6000jbx4,2022,12,27,05,25,11,-79.8896,-2.0806,73.782,4.6,0
us6000jbeg,2022,12,24,05,49,10,-77.482,-1.7136,181.664,4.515,0
us6000jab8,2022,12,19,12,26,23,-80.3711,-0.9707,35,4.515,0
us6000jaar,2022,12,19,11,01,55,-80.3295,-1.0179,35,4.77,0
us6000ja0q,2022,12,17,15,57,56,-79.3521,1.3493,43.987,4.855,0
us7000j0fb,2022,12,17,09,49,19,-79.5846,1.4416,25,5.025,0
us6000jac8,2022,12,14,17,39,03,-74.1224,3.3517,8.071,4.855,0
us6000j9qp,2022,12,12,14,49,13,-76.7154,3.9986,101.355,4.855,0
us6000j8q6,2022,12,12,06,55,00,-79.9071,-4.438,71.23,5.195,0
us6000j9ia,2022,12,11,21,00,06,-80.5332,-4.8007,52.154,4.77,0
us6000j82i,2022,12,09,03,24,34,-79.7062,-0.6077,86.478,4.855,0
us6000j6c2,2022,12,02,15,44,38,-79.9285,0.4178,47.186,4.94,0
us6000j695,2022,12,02,08,46,33,-79.849,2.5622,10,4.94,0
us6000j5y9,2022,12,01,06,52,28,-80.1899,0.7774,10,4.6,0
us6000j5tn,2022,11,25,16,10,12,-80.4986,-6.0418,45.297,4.685,0
us7000is68,2022,11,24,19,36,48,-80.5615,-1.1651,32.919,4.855,0
us7000irqw,2022,11,23,04,35,31,-83.043,3.8046,10,4.855,0
us7000iq2c,2022,11,16,05,55,22,-77.6103,-1.5604,180.482,4.855,0
us7000in5l,2022,11,07,20,40,40,-77.7544,-1.677,182.62,4.515,0
us7000im3c,2022,11,03,01,14,25,-80.8436,-5.3137,49.982,4.855,0
us7000ilwy,2022,11,02,05,06,43,-76.2688,-2.428,149.645,4.94,0
us7000il2n,2022,10,28,23,19,59,-76.2845,-3.7733,108.034,4.94,0
