eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
16957884,1906,1,31,15,36,11.16,-79.347,0.988,20,8.45,0
16957960,1907,6,1,8,40,37.29,-79.952,1.494,15,6.62,0
16957961,1907,6,5,3,21,52.3,-78.328,2.094,35,6.47,0
16958203,1912,7,24,11,59,18.95,-80.491,-4.896,35,6.8,0
914006,1914,9,25,10,30,44.68,-80.424,-4.615,35,6.17,0
914019,1914,11,18,9,38,0.19,-81.951,0.32,15,6.53,0
913821,1916,6,30,3,0,27.35,-80.013,0.733,15,6.75,0
912416,1920,1,30,18,26,47.29,-77.469,3.156,35,6.35,0
911774,1923,12,14,10,31,19.96,-78.19,0.691,10,6.26,0
910863,1924,3,11,22,44,25.79,-81.7,-3.277,15,6.04,0
911038,1924,7,22,4,4,0.74,-78.917,-1.248,15,6.23,0
911164,1924,10,18,23,5,31.67,-79.885,2.959,15,6.07,0
910785,1925,12,27,17,38,33.37,-81.276,-6.497,15,6.3,0
909914,1926,7,1,20,29,36.56,-82.655,-5.922,15,5.95,0
909135,1927,3,13,5,32,35.97,-80.622,-5.614,35,5.97,0
909329,1927,6,10,17,8,17.42,-78.072,-0.695,15,5.99,0
908668,1928,5,14,22,14,48.04,-78.658,-5.449,10,7.28,0
908669,1928,5,15,2,36,18.79,-78.733,-5.344,35,6.27,0
908673,1928,5,16,7,56,44.34,-79.6,-5.327,35,5.96,0
908687,1928,5,21,17,2,13.52,-81.025,-4.824,35,5.52,0
908696,1928,5,26,14,3,28.79,-77.716,-4.544,15,5.96,0
908792,1928,7,18,19,5,9.26,-78.982,-5.732,35,7.09,0
905851,1933,10,2,15,29,27.89,-80.747,-1.82,15,6.79,0
905856,1933,10,3,10,21,24.48,-80.917,-1.78,15,5.95,0
905093,1934,8,6,12,7,9.46,-77.938,3.333,15,5.85,0
904456,1935,8,7,9,2,15.88,-77.461,0.921,15,5.95,0
904719,1935,12,24,12,24,12.59,-79.18,2.728,25,6.31,0
903085,1937,5,21,13,12,18.92,-78.285,2.504,15,5.91,0
902365,1938,2,8,7,16,14.11,-80.82,-1.402,15,6.29,0
902368,1938,2,8,14,21,28.85,-81.226,-1.527,15,6.29,0
901316,1940,5,5,2,3,45.12,-80.395,-6.895,15,6.27,0
900274,1942,5,14,2,13,27.01,-79.982,-0.014,20,7.8,0
900280,1942,5,15,11,51,25.98,-80.045,0.556,15,6.29,0
900289,1942,5,17,15,14,21.64,-80.249,0.532,15,6.43,0
900327,1942,6,12,10,21,34.95,-76.877,-2.083,15,6.25,0
900340,1942,6,16,21,5,18.69,-80.655,0.569,15,6.23,0
900364,1942,7,4,1,53,10.94,-80.462,0.612,15,6.07,0
900366,1942,7,4,6,8,39.65,-80.692,0.724,15,5.98,0
900378,1942,7,7,12,37,50.15,-80.193,0.785,15,6.2,0
900383,1942,7,8,22,31,0.44,-80.169,0.755,15,6.3,0
900388,1942,7,12,5,5,20.63,-79.878,-0.134,15,6.56,0
900541,1942,11,12,15,26,22.82,-80.667,0.011,15,6.4,0
900557,1942,11,19,8,51,58.38,-81.6,-0.464,15,6.46,0
900558,1942,11,19,9,8,51.75,-81.856,-0.733,15,6.39,0
900586,1942,12,15,9,9,9.47,-81.33,-0.112,15,6.31,0
899707,1943,1,30,5,33,4.42,-80.147,-2.051,58.7,6.22,0
899592,1944,10,23,23,40,10.56,-79.297,0.767,20,6.6,0
898307,1946,3,29,7,26,7.9,-81.068,-1.6,15,6.56,0
896736,1949,8,5,19,8,51.66,-78.305,-1.237,15,6.45,0
895892,1950,10,5,23,7,48.73,-81.641,-4.072,15,5.9,0
891597,1953,4,1,10,49,44.78,-80.804,-0.254,10,6.1,0
891598,1953,4,1,11,21,27.54,-80.685,-0.344,20,6.16,0
892281,1953,12,12,17,31,29.84,-80.636,-3.552,25,7.32,0
889774,1955,7,20,21,0,47.5,-78.394,0.303,15,6,0
887842,1956,1,16,23,37,45.12,-80.213,-0.727,20,6.95,0
886586,1957,5,24,2,37,50.37,-76.752,3.7,52.3,6.12,0
887096,1957,8,26,13,58,50.4,-80.99,-1.925,15,6.34,0
883713,1958,1,19,14,7,28.47,-79.489,1.011,27.5,7.6,0
883714,1958,1,19,14,43,30.3,-79.543,1.153,27.5,6.85,0
883765,1958,2,1,16,10,16.51,-79.338,1.541,15,6.9,0
883766,1958,2,1,18,2,42.74,-79.305,1.55,25,6.26,0
883768,1958,2,1,20,45,49.96,-79.146,1.446,25,6.34,0
884108,1958,4,3,8,25,49.26,-79.547,1.406,25,5.73,0
884193,1958,4,14,21,32,34.35,-79.428,0.801,25,6.8,0
884195,1958,4,15,1,30,49.75,-79.581,0.907,25,6.12,0
884447,1958,5,25,21,11,45.8,-77.877,-3.235,45.8,6.19,0
881364,1959,2,7,9,36,57.21,-81.686,-3.831,30,6.91,0
